customer_id,name,email,city,country
1,Customer_1,user1@email.com,London,UK
2,Customer_2,user2@email.com,Casablanca,Morocco
3,Customer_3,user3@email.com,Casablanca,Morocco
4,Customer_4,user4@email.com,London,UK
5,Customer_5,user5@email.com,Lyon,France
6,Customer_6,user6@email.com,Paris,France
7,Customer_7,user7@email.com,Paris,France
8,Customer_8,user8@email.com,Paris,France
9,Customer_9,user9@email.com,London,UK
10,Customer_10,user10@email.com,Casablanca,Morocco
11,Customer_11,user11@email.com,London,UK
12,Customer_12,user12@email.com,London,UK
13,Customer_13,user13@email.com,Dubai,UAE
14,Customer_14,user14@email.com,Casablanca,Morocco
15,Customer_15,user15@email.com,Dubai,UAE
16,Customer_16,user16@email.com,Rabat,Morocco
17,Customer_17,user17@email.com,Casablanca,Morocco
18,Customer_18,user18@email.com,Casablanca,Morocco
19,Customer_19,user19@email.com,Casablanca,Morocco
20,Customer_20,user20@email.com,Paris,France
21,Customer_21,user21@email.com,Paris,France
22,Customer_22,user22@email.com,Dubai,UAE
23,Customer_23,user23@email.com,Dubai,UAE
24,Customer_24,user24@email.com,Casablanca,Morocco
25,Customer_25,user25@email.com,Dubai,UAE
26,Customer_26,user26@email.com,Paris,France
27,Customer_27,user27@email.com,London,UK
28,Customer_28,user28@email.com,London,UK
29,Customer_29,user29@email.com,London,UK
30,Customer_30,user30@email.com,Dubai,UAE
31,Customer_31,user31@email.com,Rabat,Morocco
32,Customer_32,user32@email.com,Paris,France
33,Customer_33,user33@email.com,Rabat,Morocco
34,Customer_34,user34@email.com,Dubai,UAE
35,Customer_35,user35@email.com,Lyon,France
36,Customer_36,user36@email.com,Madrid,Spain
37,Customer_37,user37@email.com,Madrid,Spain
38,Customer_38,user38@email.com,Casablanca,Morocco
39,Customer_39,user39@email.com,Madrid,Spain
40,Customer_40,user40@email.com,Madrid,Spain
41,Customer_41,user41@email.com,Paris,France
42,Customer_42,user42@email.com,London,UK
43,Customer_43,user43@email.com,Rabat,Morocco
44,Customer_44,user44@email.com,Lyon,France
45,Customer_45,user45@email.com,Lyon,France
46,Customer_46,user46@email.com,Paris,France
47,Customer_47,user47@email.com,Paris,France
48,Customer_48,user48@email.com,Madrid,Spain
49,Customer_49,user49@email.com,Lyon,France
50,Customer_50,user50@email.com,Casablanca,Morocco
51,Customer_51,user51@email.com,Casablanca,Morocco
52,Customer_52,user52@email.com,Rabat,Morocco
53,Customer_53,user53@email.com,Casablanca,Morocco
54,Customer_54,user54@email.com,Lyon,France
55,Customer_55,user55@email.com,Madrid,Spain
56,Customer_56,user56@email.com,Lyon,France
57,Customer_57,user57@email.com,Dubai,UAE
58,Customer_58,user58@email.com,Lyon,France
59,Customer_59,user59@email.com,Madrid,Spain
60,Customer_60,user60@email.com,Casablanca,Morocco
61,Customer_61,user61@email.com,London,UK
62,Customer_62,user62@email.com,Rabat,Morocco
63,Customer_63,user63@email.com,Dubai,UAE
64,Customer_64,user64@email.com,Casablanca,Morocco
65,Customer_65,user65@email.com,Rabat,Morocco
66,Customer_66,user66@email.com,Casablanca,Morocco
